signature,DNA / RNA,association,RNA type,method,cancer type,score function,PMID,cuarted,information,immunotherapy,gitHub status
M1_Hwang,RNA,sensitive,TPM,ssGSEA,melanoma,geneSigssGSEA,31959763,YES,Gene expression signature capturing the presenc Macrophage M1 cells. This M1 signature was a predictor of the response of PD-1 blockade in melanoma patients,Yes,Shared
Macrophage_Danaher,RNA,sensitive,log RSEM normalized,GSVA,multiple,geneSigGSVA,28239471,YES,Gene expression signature capturing the presence Macrophage cells.,No,Shared
MHC-I_Liu,RNA,sensitive,TPM,ssGSEA,melanoma,geneSigssGSEA,31792460,YES,Gene expression signature capturing the expression level of immune-related cluster of MHC-I antigen-presentation genes. ,Yes,Shared
MHC-II_Liu,RNA,sensitive,TPM,ssGSEA,melanoma,geneSigssGSEA,31792460,YES,Gene expression signature capturing the expression level of immune-related cluster of MHC-II antigen-presentation genes. ,Yes,Shared
MPS_Guijarro,RNA,resistance,FPKM,Weighted Mean,melanoma,geneSigMean,32284588,YES,Gene expression signature capturing the melanocytic plasticity (MPS) activity. This MPS signature was generated in syngeneic mouse models and was a predictor of the failure of CTLA-4 and PD-1 blockade in published cohorts.,Yes,Shared
Myeloid-DC_Helmink,RNA,resistance,log FPKM ,GSVA,melanoma nad kidney,geneSigGSVA,31942075,YES,Gene expression signature capturing the myeloid dendritic cells (Myeloid_DC) activity. This Myeloid_DC signature was significantly more expressed in non-responder ICB-treated patients,,Shared
NonResponse_Chen,RNA,resistance,Count RNA-seq,GSVA,multiple,geneSigGSVA,32907939,YES,The authors investigated the responsiveness of breast tumors to anti-PD-1 blockade in a mice bilateral tumor approach. They identified several genes associated with resistance to PD-1 blockade and validated there signature in published ICB cohorts,No,Shared
PassON_Du,RNA,sensitive,TPM,Specific Algorithm,melanoma,geneSigPassON,34654806,YES,Gene expression signature capturing the combined fatty acid and lipid metabolism-related signatures in terms of response to PD1/PD-L1 therapies in patients with metastatic melanoma. ,Yes,Shared
PDL1_Nishino,RNA,sensitive,RNA-seq (quantile normalized),GSVA,,geneSigGSVA,28653677/30127393,YES,Gene expression signature capturing the level of PDL1. This PDL1 signature was a predictor of the response of ICB in published cohorts,,Shared
peri-Tcell_Hwang,RNA,sensitive,TPM,ssGSEA,lung,geneSigssGSEA,31959763,YES,Gene expression signature capturing the presence of peripheral T cell (peri_Tcell). This peri_Tcell signature was a predictor of the response of PD-1 blockade in Lung patients,Yes,Shared
PredictIO_Bareche,RNA,sensitive,log TPM,Specific Algorithm,pan-cancer,geneSigPredictIO,36055464,YES,Gene expression signature that demonstrated better and more consistent ability to predict immunotherapy response as compared to other signatures. The specific algorithm is applied to computed the signature score. The PredictIO signature was identified by integrating gene expression data from a large pan-cancer discovery immunotherapy datasets.,Yes,Shared
proliferation_Pabla,RNA,resistance,target RNAseq,Weighted Mean,lung,geneSigMean,30709424,YES,"Gene expression signature of 10-proliferation associated genes used to stratify tumors into poorly, moderately, and highly proliferative. The authors demostrated a significant survival advantage of moderately proliferative tumors compared to highly/poorly counterparts.",Yes,Shared
PTEN-MITF_Cabrita,RNA,resistance,microarray & log Quantile normalized RNA-seq,Weighted Mean,melanoma,geneSigMean,32245160,YES,Gene expression signature capturing the loss of PTEN in context of MITF expression. This PTEN_MITF signature was a predictor of the failure of ICB in Melanoma patients,Yes,Shared
Response_Chen,RNA,sensitive,Count RNA-seq,GSVA,multiple,geneSigGSVA,32907939,YES,The authors investigated the responsiveness of breast tumors to anti-PD-1 blockade in a mice bilateral tumor approach. They identified several genes associated with response to PD-1 blockade and validated there signature in published ICB cohorts,No,Shared
STAT1_Care,RNA,sensitive,microarray (Quantile normalized) & FPKM,GSVA,urothelial and melanoma,geneSigGSVA,31316010; 26362649,YES,Gene expression signature capturing the STAT1-activating cytokine interferon-_ (IFN_) activity. The authors observed enrichment of genes associated with an inflammatory IFN/STAT1-driven environment in ICB responsive tumors.,Yes,Shared
Tcell-exclusion_Arnon,RNA,resistance,Count RNA-seq or TPM,GSVA,melanoma,geneSigGSVA,30388455,YES,Gene expression signature capturing the mechanism of T-cell exclusion. This T_cell_exclusion signature was a predictor of the failure of PD-1 blockade in Melanoma patients,Yes,Shared
Teff_McDermott,RNA,resistance,log CPM,GSVA,renal cell carcinoma,geneSigGSVA,29867230,YES,Gene expression signature capturing effector T cells. This signature was a predictor of response to combination of anti-PD-L1 and sunitinib in renal cell carcinoma.,Yes,Shared
Teff-IFNG_Fehrenbacher,RNA,sensitive,log CPM,GSVA,lung,geneSigGSVA,26970723,YES,Gene expression signature capturing effector T cells. This signature associated with improved ovarall survival of non-small-cell lung cancer patients treated with anti-PD-L1.,Yes,shared
TGFB_Mariathasan,RNA,resistance,log normalized count,Weighted Mean,urothelial,geneSigMean,29443960,YES,Gene expression signature capturing the fibroblast TGFB activity. This TGFB signature was a predictor of the failure of PD-(L)1 blockade in published cohorts,Yes,Shared
TIS_Damotte,RNA,sensitive,log normalized count,GSVA,lung,geneSigGSVA,31684954,YES,Gene expression signature capturing the level of local tumor inflammation. This Tumor Inflammation signature (TIS) was a predictor of the response of PD-1 blockade in lung cancer patients.,Yes,Shared
TLS_Cabrita,RNA,sensitive,TPM,GSVA,melanoma,geneSigGSVA,31942071,YES,Gene expression signature capturing the presence of Tertiary lymphoid structures (TLS). This TLS signature was a predictor of the response of ICB in melanoma patients,Yes,Shared
TUMOR-VASCULATURE-UP_Lu,RNA,TBD,microarray,GSVA,ovarian,geneSigGSVA,17308118,YES,Gene expression signature capturing tumor-associated endothelium. The signature was obtained by comparing endothelium cells from high-grade serous ovarian cancer with normal ovary. ,No,Shared
VIGex_Hernando-Calvo,RNA,resistance,TPM or log TPM,GSVA,multiple,geneSigGSVA,37572657,YES,"Gene expression signature capturing genes involved in adaptative immune response. This signature was used to score tumors are classify into hot, intermediate-cold, and cold. It associated with immunotherapy response in early-phase trials.",Yes,Shared
