"","source","type","score","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","gene_id_no_ver","length"
"CYP26B1","HAVANA","gene",NA,NA,"ENSG00000003137.4","protein_coding","CYP26B1","1","OTTHUMG00000129756.4",NA,"ENSG00000003137",NA
"ICA1","HAVANA","gene",NA,NA,"ENSG00000003147.13","protein_coding","ICA1","2","OTTHUMG00000152008.7","ncRNA_host","ENSG00000003147",NA
"DBNDD1","HAVANA","gene",NA,NA,"ENSG00000003249.9","protein_coding","DBNDD1","2","OTTHUMG00000138984.3",NA,"ENSG00000003249",NA
"ALS2","HAVANA","gene",NA,NA,"ENSG00000003393.10","protein_coding","ALS2","2","OTTHUMG00000154507.5",NA,"ENSG00000003393",NA
"CASP10","HAVANA","gene",NA,NA,"ENSG00000003400.10","protein_coding","CASP10","2","OTTHUMG00000132818.4",NA,"ENSG00000003400",NA
"CFLAR","HAVANA","gene",NA,NA,"ENSG00000003402.15","protein_coding","CFLAR","1","OTTHUMG00000132819.17","ncRNA_host","ENSG00000003402",NA
"TFPI","HAVANA","gene",NA,NA,"ENSG00000003436.10","protein_coding","TFPI","2","OTTHUMG00000132634.5",NA,"ENSG00000003436",NA
"NDUFAF7","HAVANA","gene",NA,NA,"ENSG00000003509.11","protein_coding","NDUFAF7","1","OTTHUMG00000128468.5",NA,"ENSG00000003509",NA
"RBM5","HAVANA","gene",NA,NA,"ENSG00000003756.12","protein_coding","RBM5","1","OTTHUMG00000156785.7",NA,"ENSG00000003756",NA
"MTMR7","HAVANA","gene",NA,NA,"ENSG00000003987.9","protein_coding","MTMR7","2","OTTHUMG00000163771.3",NA,"ENSG00000003987",NA
"SLC7A2","HAVANA","gene",NA,NA,"ENSG00000003989.12","protein_coding","SLC7A2","2","OTTHUMG00000130819.4",NA,"ENSG00000003989",NA
"ARF5","HAVANA","gene",NA,NA,"ENSG00000004059.6","protein_coding","ARF5","2","OTTHUMG00000023246.5",NA,"ENSG00000004059",NA
"SARM1","HAVANA","gene",NA,NA,"ENSG00000004139.9","protein_coding","SARM1","1","OTTHUMG00000132499.36",NA,"ENSG00000004139",NA
"POLDIP2","HAVANA","gene",NA,NA,"ENSG00000004142.7","protein_coding","POLDIP2","2","OTTHUMG00000132065.5",NA,"ENSG00000004142",NA
"PLXND1","HAVANA","gene",NA,NA,"ENSG00000004399.8","protein_coding","PLXND1","1","OTTHUMG00000159547.14",NA,"ENSG00000004399",NA
"AK2","HAVANA","gene",NA,NA,"ENSG00000004455.12","protein_coding","AK2","1","OTTHUMG00000004131.6",NA,"ENSG00000004455",NA
"CD38","HAVANA","gene",NA,NA,"ENSG00000004468.8","protein_coding","CD38","2","OTTHUMG00000048206.4",NA,"ENSG00000004468",NA
"FKBP4","HAVANA","gene",NA,NA,"ENSG00000004478.5","protein_coding","FKBP4","2","OTTHUMG00000090429.2",NA,"ENSG00000004478",NA
"KDM1A","HAVANA","gene",NA,NA,"ENSG00000004487.11","protein_coding","KDM1A","2","OTTHUMG00000003220.5","ncRNA_host","ENSG00000004487",NA
"RBM6","HAVANA","gene",NA,NA,"ENSG00000004534.10","protein_coding","RBM6","1","OTTHUMG00000156736.10",NA,"ENSG00000004534",NA
"CAMKK1","HAVANA","gene",NA,NA,"ENSG00000004660.10","protein_coding","CAMKK1","2","OTTHUMG00000090725.2",NA,"ENSG00000004660",NA
"RECQL","HAVANA","gene",NA,NA,"ENSG00000004700.11","protein_coding","RECQL","2","OTTHUMG00000169131.1",NA,"ENSG00000004700",NA
"CCDC132","HAVANA","gene",NA,NA,"ENSG00000004766.11","protein_coding","CCDC132","2","OTTHUMG00000131733.2",NA,"ENSG00000004766",NA
"HSPB6","HAVANA","gene",NA,NA,"ENSG00000004776.7","protein_coding","HSPB6","2","OTTHUMG00000048122.3",NA,"ENSG00000004776",NA
"ARHGAP33","HAVANA","gene",NA,NA,"ENSG00000004777.14","protein_coding","ARHGAP33","1","OTTHUMG00000182071.4",NA,"ENSG00000004777",NA
"NDUFAB1","HAVANA","gene",NA,NA,"ENSG00000004779.5","protein_coding","NDUFAB1","1","OTTHUMG00000096985.4",NA,"ENSG00000004779",NA
"PDK4","HAVANA","gene",NA,NA,"ENSG00000004799.7","protein_coding","PDK4","2","OTTHUMG00000153977.2",NA,"ENSG00000004799",NA
"SLC22A16","HAVANA","gene",NA,NA,"ENSG00000004809.9","protein_coding","SLC22A16","2","OTTHUMG00000016171.4","ncRNA_host","ENSG00000004809",NA
"ZMYND10","HAVANA","gene",NA,NA,"ENSG00000004838.9","protein_coding","ZMYND10","1","OTTHUMG00000156874.5",NA,"ENSG00000004838",NA
"ABCB5","HAVANA","gene",NA,NA,"ENSG00000004846.12","protein_coding","ABCB5","1","OTTHUMG00000094789.5",NA,"ENSG00000004846",NA
"ARX","HAVANA","gene",NA,NA,"ENSG00000004848.6","protein_coding","ARX","2","OTTHUMG00000021275.1",NA,"ENSG00000004848",NA
"SLC25A13","HAVANA","gene",NA,NA,"ENSG00000004864.9","protein_coding","SLC25A13","2","OTTHUMG00000023074.5","ncRNA_host","ENSG00000004864",NA
"ST7","HAVANA","gene",NA,NA,"ENSG00000004866.14","protein_coding","ST7","1","OTTHUMG00000023888.22",NA,"ENSG00000004866",NA
"CDC27","HAVANA","gene",NA,NA,"ENSG00000004897.7","protein_coding","CDC27","2","OTTHUMG00000166429.6",NA,"ENSG00000004897",NA
"SLC4A1","HAVANA","gene",NA,NA,"ENSG00000004939.9","protein_coding","SLC4A1","2","OTTHUMG00000156843.1",NA,"ENSG00000004939",NA
"CALCR","HAVANA","gene",NA,NA,"ENSG00000004948.9","protein_coding","CALCR","2","OTTHUMG00000023599.4","ncRNA_host","ENSG00000004948",NA
"HCCS","HAVANA","gene",NA,NA,"ENSG00000004961.10","protein_coding","HCCS","2","OTTHUMG00000021128.1",NA,"ENSG00000004961",NA
"DVL2","HAVANA","gene",NA,NA,"ENSG00000004975.7","protein_coding","DVL2","2","OTTHUMG00000102155.3",NA,"ENSG00000004975",NA
"PRSS22","HAVANA","gene",NA,NA,"ENSG00000005001.5","protein_coding","PRSS22","1","OTTHUMG00000128961.2",NA,"ENSG00000005001",NA
"UPF1","HAVANA","gene",NA,NA,"ENSG00000005007.8","protein_coding","UPF1","2","OTTHUMG00000183025.2",NA,"ENSG00000005007",NA
"SKAP2","HAVANA","gene",NA,NA,"ENSG00000005020.8","protein_coding","SKAP2","2","OTTHUMG00000023495.3",NA,"ENSG00000005020",NA
"SLC25A5","HAVANA","gene",NA,NA,"ENSG00000005022.5","protein_coding","SLC25A5","2","OTTHUMG00000022715.2",NA,"ENSG00000005022",NA
"CCDC109B","HAVANA","gene",NA,NA,"ENSG00000005059.11","protein_coding","CCDC109B","2","OTTHUMG00000161103.1",NA,"ENSG00000005059",NA
"HOXA11","HAVANA","gene",NA,NA,"ENSG00000005073.5","protein_coding","HOXA11","1","OTTHUMG00000023437.6",NA,"ENSG00000005073",NA
"POLR2J","HAVANA","gene",NA,NA,"ENSG00000005075.11","protein_coding","POLR2J","2","OTTHUMG00000150387.1",NA,"ENSG00000005075",NA
"DHX33","HAVANA","gene",NA,NA,"ENSG00000005100.8","protein_coding","DHX33","1","OTTHUMG00000102041.2",NA,"ENSG00000005100",NA
"MEOX1","HAVANA","gene",NA,NA,"ENSG00000005102.8","protein_coding","MEOX1","2","OTTHUMG00000170513.1",NA,"ENSG00000005102",NA
"THSD7A","HAVANA","gene",NA,NA,"ENSG00000005108.11","protein_coding","THSD7A","2","OTTHUMG00000152346.4",NA,"ENSG00000005108",NA
"LIG3","HAVANA","gene",NA,NA,"ENSG00000005156.7","protein_coding","LIG3","1","OTTHUMG00000128519.4",NA,"ENSG00000005156",NA
"RPAP3","HAVANA","gene",NA,NA,"ENSG00000005175.5","protein_coding","RPAP3","2","OTTHUMG00000169668.1",NA,"ENSG00000005175",NA
"ACSM3","HAVANA","gene",NA,NA,"ENSG00000005187.7","protein_coding","ACSM3","1","OTTHUMG00000131552.3","ncRNA_host","ENSG00000005187",NA
"AC004381.6","HAVANA","gene",NA,NA,"ENSG00000005189.15","protein_coding","AC004381.6","1","OTTHUMG00000131556.3",NA,"ENSG00000005189",NA
"CIAPIN1","HAVANA","gene",NA,NA,"ENSG00000005194.10","protein_coding","CIAPIN1","1","OTTHUMG00000133457.6",NA,"ENSG00000005194",NA
"FAM214B","HAVANA","gene",NA,NA,"ENSG00000005238.15","protein_coding","FAM214B","2","OTTHUMG00000019847.5",NA,"ENSG00000005238",NA
"COPZ2","HAVANA","gene",NA,NA,"ENSG00000005243.5","protein_coding","COPZ2","2","OTTHUMG00000178684.1","ncRNA_host","ENSG00000005243",NA
"PRKAR2B","HAVANA","gene",NA,NA,"ENSG00000005249.8","protein_coding","PRKAR2B","2","OTTHUMG00000137418.1",NA,"ENSG00000005249",NA
"MSL3","HAVANA","gene",NA,NA,"ENSG00000005302.13","protein_coding","MSL3","2","OTTHUMG00000021132.3",NA,"ENSG00000005302",NA
"CREBBP","HAVANA","gene",NA,NA,"ENSG00000005339.8","protein_coding","CREBBP","1","OTTHUMG00000129431.2",NA,"ENSG00000005339",NA
"BZRAP1","HAVANA","gene",NA,NA,"ENSG00000005379.11","protein_coding","BZRAP1","2","OTTHUMG00000178923.1",NA,"ENSG00000005379",NA
"MPO","HAVANA","gene",NA,NA,"ENSG00000005381.6","protein_coding","MPO","2","OTTHUMG00000178922.1",NA,"ENSG00000005381",NA
"PON1","HAVANA","gene",NA,NA,"ENSG00000005421.4","protein_coding","PON1","2","OTTHUMG00000153894.3",NA,"ENSG00000005421",NA
"GCFC2","HAVANA","gene",NA,NA,"ENSG00000005436.9","protein_coding","GCFC2","1","OTTHUMG00000129989.3",NA,"ENSG00000005436",NA
"WDR54","HAVANA","gene",NA,NA,"ENSG00000005448.12","protein_coding","WDR54","1","OTTHUMG00000129951.3",NA,"ENSG00000005448",NA
"CROT","HAVANA","gene",NA,NA,"ENSG00000005469.7","protein_coding","CROT","1","OTTHUMG00000023653.5",NA,"ENSG00000005469",NA
"ABCB4","HAVANA","gene",NA,NA,"ENSG00000005471.11","protein_coding","ABCB4","2","OTTHUMG00000023396.15",NA,"ENSG00000005471",NA
"KMT2E","HAVANA","gene",NA,NA,"ENSG00000005483.15","protein_coding","KMT2E","2","OTTHUMG00000157403.2",NA,"ENSG00000005483",NA
"RHBDD2","HAVANA","gene",NA,NA,"ENSG00000005486.12","protein_coding","RHBDD2","1","OTTHUMG00000156435.4",NA,"ENSG00000005486",NA
"SOX8","HAVANA","gene",NA,NA,"ENSG00000005513.9","protein_coding","SOX8","2","OTTHUMG00000122101.2",NA,"ENSG00000005513",NA
"IBTK","HAVANA","gene",NA,NA,"ENSG00000005700.10","protein_coding","IBTK","2","OTTHUMG00000015102.2","ncRNA_host","ENSG00000005700",NA
"ZNF195","HAVANA","gene",NA,NA,"ENSG00000005801.12","protein_coding","ZNF195","1","OTTHUMG00000011694.7","ncRNA_host","ENSG00000005801",NA
"MYCBP2","HAVANA","gene",NA,NA,"ENSG00000005810.13","protein_coding","MYCBP2","2","OTTHUMG00000017105.2",NA,"ENSG00000005810",NA
"FBXL3","HAVANA","gene",NA,NA,"ENSG00000005812.6","protein_coding","FBXL3","1","OTTHUMG00000017099.3",NA,"ENSG00000005812",NA
"ITGAL","HAVANA","gene",NA,NA,"ENSG00000005844.13","protein_coding","ITGAL","2","OTTHUMG00000176964.3","ncRNA_host","ENSG00000005844",NA
"PDK2","HAVANA","gene",NA,NA,"ENSG00000005882.7","protein_coding","PDK2","1","OTTHUMG00000161948.16",NA,"ENSG00000005882",NA
"ITGA3","HAVANA","gene",NA,NA,"ENSG00000005884.13","protein_coding","ITGA3","2","OTTHUMG00000161890.5",NA,"ENSG00000005884",NA
"ZFX","HAVANA","gene",NA,NA,"ENSG00000005889.11","protein_coding","ZFX","2","OTTHUMG00000021264.1",NA,"ENSG00000005889",NA
"LAMP2","HAVANA","gene",NA,NA,"ENSG00000005893.11","protein_coding","LAMP2","2","OTTHUMG00000022301.4",NA,"ENSG00000005893",NA
"ITGA2B","HAVANA","gene",NA,NA,"ENSG00000005961.13","protein_coding","ITGA2B","2","OTTHUMG00000177935.2",NA,"ENSG00000005961",NA
"ASB4","HAVANA","gene",NA,NA,"ENSG00000005981.8","protein_coding","ASB4","2","OTTHUMG00000153960.7",NA,"ENSG00000005981",NA
"GDE1","HAVANA","gene",NA,NA,"ENSG00000006007.7","protein_coding","GDE1","2","OTTHUMG00000131454.4",NA,"ENSG00000006007",NA
"C19orf60","HAVANA","gene",NA,NA,"ENSG00000006015.13","protein_coding","C19orf60","2","OTTHUMG00000183112.1",NA,"ENSG00000006015",NA
"CRLF1","HAVANA","gene",NA,NA,"ENSG00000006016.6","protein_coding","CRLF1","2","OTTHUMG00000183111.1",NA,"ENSG00000006016",NA
"OSBPL7","HAVANA","gene",NA,NA,"ENSG00000006025.7","protein_coding","OSBPL7","2","OTTHUMG00000178288.1",NA,"ENSG00000006025",NA
"TMEM98","HAVANA","gene",NA,NA,"ENSG00000006042.7","protein_coding","TMEM98","2","OTTHUMG00000132882.3",NA,"ENSG00000006042",NA
"YBX2","HAVANA","gene",NA,NA,"ENSG00000006047.8","protein_coding","YBX2","2","OTTHUMG00000177992.2",NA,"ENSG00000006047",NA
"KRT33A","HAVANA","gene",NA,NA,"ENSG00000006059.3","protein_coding","KRT33A","2","OTTHUMG00000133432.1",NA,"ENSG00000006059",NA
"ABCC8","HAVANA","gene",NA,NA,"ENSG00000006071.7","protein_coding","ABCC8","2","OTTHUMG00000166316.1",NA,"ENSG00000006071",NA
"CACNG3","HAVANA","gene",NA,NA,"ENSG00000006116.3","protein_coding","CACNG3","2","OTTHUMG00000131651.1",NA,"ENSG00000006116",NA
"TMEM132A","HAVANA","gene",NA,NA,"ENSG00000006118.10","protein_coding","TMEM132A","1","OTTHUMG00000167803.1",NA,"ENSG00000006118",NA
"AP2B1","HAVANA","gene",NA,NA,"ENSG00000006125.12","protein_coding","AP2B1","1","OTTHUMG00000179924.1",NA,"ENSG00000006125",NA
"TAC1","HAVANA","gene",NA,NA,"ENSG00000006128.7","protein_coding","TAC1","2","OTTHUMG00000154069.3",NA,"ENSG00000006128",NA
"ZNF263","HAVANA","gene",NA,NA,"ENSG00000006194.6","protein_coding","ZNF263","1","OTTHUMG00000129323.2",NA,"ENSG00000006194",NA
"CX3CL1","HAVANA","gene",NA,NA,"ENSG00000006210.6","protein_coding","CX3CL1","1","OTTHUMG00000133469.5",NA,"ENSG00000006210",NA
"SPATA20","HAVANA","gene",NA,NA,"ENSG00000006282.15","protein_coding","SPATA20","2","OTTHUMG00000162162.3",NA,"ENSG00000006282",NA
"CACNA1G","HAVANA","gene",NA,NA,"ENSG00000006283.13","protein_coding","CACNA1G","2","OTTHUMG00000162180.6",NA,"ENSG00000006283",NA
"TNFRSF12A","HAVANA","gene",NA,NA,"ENSG00000006327.9","protein_coding","TNFRSF12A","2","OTTHUMG00000129001.2",NA,"ENSG00000006327",NA
"DLX6","HAVANA","gene",NA,NA,"ENSG00000006377.9","protein_coding","DLX6","2","OTTHUMG00000154201.6",NA,"ENSG00000006377",NA
"MAP3K9","HAVANA","gene",NA,NA,"ENSG00000006432.11","protein_coding","MAP3K9","1","OTTHUMG00000171249.3",NA,"ENSG00000006432",NA
"RALA","HAVANA","gene",NA,NA,"ENSG00000006451.3","protein_coding","RALA","2","OTTHUMG00000128775.3",NA,"ENSG00000006451",NA
"BAIAP2L1","HAVANA","gene",NA,NA,"ENSG00000006453.9","protein_coding","BAIAP2L1","2","OTTHUMG00000165117.1",NA,"ENSG00000006453",NA
"JHDM1D","HAVANA","gene",NA,NA,"ENSG00000006459.6","protein_coding","JHDM1D","2","OTTHUMG00000157327.1","ncRNA_host","ENSG00000006459",NA
"ETV1","HAVANA","gene",NA,NA,"ENSG00000006468.9","protein_coding","ETV1","1","OTTHUMG00000152403.5",NA,"ENSG00000006468",NA
"AGK","HAVANA","gene",NA,NA,"ENSG00000006530.11","protein_coding","AGK","2","OTTHUMG00000157499.1",NA,"ENSG00000006530",NA
"ALDH3B1","HAVANA","gene",NA,NA,"ENSG00000006534.11","protein_coding","ALDH3B1","2","OTTHUMG00000154910.3",NA,"ENSG00000006534",NA
"TTC22","HAVANA","gene",NA,NA,"ENSG00000006555.6","protein_coding","TTC22","1","OTTHUMG00000009916.3",NA,"ENSG00000006555",NA
"PHTF2","HAVANA","gene",NA,NA,"ENSG00000006576.12","protein_coding","PHTF2","2","OTTHUMG00000155557.3","ncRNA_host","ENSG00000006576",NA
"CCL26","HAVANA","gene",NA,NA,"ENSG00000006606.4","protein_coding","CCL26","2","OTTHUMG00000130403.2",NA,"ENSG00000006606",NA
"FARP2","HAVANA","gene",NA,NA,"ENSG00000006607.9","protein_coding","FARP2","1","OTTHUMG00000151574.2","ncRNA_host","ENSG00000006607",NA
"USH1C","HAVANA","gene",NA,NA,"ENSG00000006611.11","protein_coding","USH1C","2","OTTHUMG00000166323.1",NA,"ENSG00000006611",NA
"GGCT","HAVANA","gene",NA,NA,"ENSG00000006625.13","protein_coding","GGCT","1","OTTHUMG00000128593.3",NA,"ENSG00000006625",NA
"DBF4","HAVANA","gene",NA,NA,"ENSG00000006634.3","protein_coding","DBF4","2","OTTHUMG00000131034.6",NA,"ENSG00000006634",NA
"TBXA2R","HAVANA","gene",NA,NA,"ENSG00000006638.7","protein_coding","TBXA2R","2","OTTHUMG00000180806.2",NA,"ENSG00000006638",NA
"IFRD1","HAVANA","gene",NA,NA,"ENSG00000006652.9","protein_coding","IFRD1","1","OTTHUMG00000155124.5",NA,"ENSG00000006652",NA
"LGALS14","HAVANA","gene",NA,NA,"ENSG00000006659.8","protein_coding","LGALS14","2","OTTHUMG00000183143.1",NA,"ENSG00000006659",NA
"COX10","HAVANA","gene",NA,NA,"ENSG00000006695.6","protein_coding","COX10","2","OTTHUMG00000058814.2","ncRNA_host","ENSG00000006695",NA
"GTF2IRD1","HAVANA","gene",NA,NA,"ENSG00000006704.6","protein_coding","GTF2IRD1","1","OTTHUMG00000023782.3","ncRNA_host","ENSG00000006704",NA
"PAF1","HAVANA","gene",NA,NA,"ENSG00000006712.10","protein_coding","PAF1","2","OTTHUMG00000182968.1",NA,"ENSG00000006712",NA
"VPS41","HAVANA","gene",NA,NA,"ENSG00000006715.11","protein_coding","VPS41","1","OTTHUMG00000023629.6",NA,"ENSG00000006715",NA
"ARHGAP44","HAVANA","gene",NA,NA,"ENSG00000006740.12","protein_coding","ARHGAP44","1","OTTHUMG00000058765.5",NA,"ENSG00000006740",NA
"ELAC2","HAVANA","gene",NA,NA,"ENSG00000006744.14","protein_coding","ELAC2","1","OTTHUMG00000058764.14",NA,"ENSG00000006744",NA
"SCIN","HAVANA","gene",NA,NA,"ENSG00000006747.10","protein_coding","SCIN","1","OTTHUMG00000152385.2",NA,"ENSG00000006747",NA
"ARSD","HAVANA","gene",NA,NA,"ENSG00000006756.11","protein_coding","ARSD","1","OTTHUMG00000021077.3",NA,"ENSG00000006756",NA
"PNPLA4","HAVANA","gene",NA,NA,"ENSG00000006757.7","protein_coding","PNPLA4","2","OTTHUMG00000021103.1",NA,"ENSG00000006757",NA
"MYH13","HAVANA","gene",NA,NA,"ENSG00000006788.8","protein_coding","MYH13","2","OTTHUMG00000177987.4",NA,"ENSG00000006788",NA
"ADIPOR2","HAVANA","gene",NA,NA,"ENSG00000006831.9","protein_coding","ADIPOR2","1","OTTHUMG00000130139.2",NA,"ENSG00000006831",NA
"CDKL3","HAVANA","gene",NA,NA,"ENSG00000006837.7","protein_coding","CDKL3","1","OTTHUMG00000186341.1",NA,"ENSG00000006837",NA
"UPP2","HAVANA","gene",NA,NA,"ENSG00000007001.8","protein_coding","UPP2","2","OTTHUMG00000131969.3","ncRNA_host","ENSG00000007001",NA
"PRSS21","HAVANA","gene",NA,NA,"ENSG00000007038.6","protein_coding","PRSS21","2","OTTHUMG00000128931.2",NA,"ENSG00000007038",NA
"MARK4","HAVANA","gene",NA,NA,"ENSG00000007047.10","protein_coding","MARK4","2","OTTHUMG00000181769.1",NA,"ENSG00000007047",NA
"PROM1","HAVANA","gene",NA,NA,"ENSG00000007062.7","protein_coding","PROM1","1","OTTHUMG00000160180.4","ncRNA_host","ENSG00000007062",NA
"CCDC124","HAVANA","gene",NA,NA,"ENSG00000007080.6","protein_coding","CCDC124","2","OTTHUMG00000183405.1",NA,"ENSG00000007080",NA
"CEACAM21","HAVANA","gene",NA,NA,"ENSG00000007129.13","protein_coding","CEACAM21","2","OTTHUMG00000151062.5",NA,"ENSG00000007129",NA
"PAFAH1B1","HAVANA","gene",NA,NA,"ENSG00000007168.8","protein_coding","PAFAH1B1","2","OTTHUMG00000177574.6","ncRNA_host","ENSG00000007168",NA
"NOS2","HAVANA","gene",NA,NA,"ENSG00000007171.12","protein_coding","NOS2","2","OTTHUMG00000132445.1",NA,"ENSG00000007171",NA
"DNAH9","HAVANA","gene",NA,NA,"ENSG00000007174.13","protein_coding","DNAH9","1","OTTHUMG00000130383.8",NA,"ENSG00000007174",NA
"KIAA0100","HAVANA","gene",NA,NA,"ENSG00000007202.10","protein_coding","KIAA0100","2","OTTHUMG00000166587.5",NA,"ENSG00000007202",NA
"SLC13A2","HAVANA","gene",NA,NA,"ENSG00000007216.10","protein_coding","SLC13A2","2","OTTHUMG00000132523.2",NA,"ENSG00000007216",NA
"GAS7","HAVANA","gene",NA,NA,"ENSG00000007237.14","protein_coding","GAS7","2","OTTHUMG00000177945.14",NA,"ENSG00000007237",NA
"TRAPPC6A","HAVANA","gene",NA,NA,"ENSG00000007255.6","protein_coding","TRAPPC6A","1","OTTHUMG00000181775.1",NA,"ENSG00000007255",NA
"MATK","HAVANA","gene",NA,NA,"ENSG00000007264.9","protein_coding","MATK","1","OTTHUMG00000180916.4",NA,"ENSG00000007264",NA
"CEACAM7","HAVANA","gene",NA,NA,"ENSG00000007306.10","protein_coding","CEACAM7","2","OTTHUMG00000151063.2",NA,"ENSG00000007306",NA
"CD79B","HAVANA","gene",NA,NA,"ENSG00000007312.8","protein_coding","CD79B","2","OTTHUMG00000172294.2",NA,"ENSG00000007312",NA
"SCN4A","HAVANA","gene",NA,NA,"ENSG00000007314.7","protein_coding","SCN4A","2","OTTHUMG00000179046.1",NA,"ENSG00000007314",NA
"ST7L","HAVANA","gene",NA,NA,"ENSG00000007341.14","protein_coding","ST7L","2","OTTHUMG00000011753.7",NA,"ENSG00000007341",NA
