"Cancer_type","Gene","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"Melanoma","VIGex_Hernando-Calvo",-0.457749812678466,0.340946104462388,-1.12599189809398,0.210492272737046,0.179405737254871,0,0.749676878913433,0.368863955438148
"Melanoma","Chemokine_Messina",-0.761430423208627,0.657554956681534,-2.05021445616023,0.527353609742974,0.246875342085173,0.143707572522976,0.311042616532978,0.385742722008082
"Melanoma","CYT_Davoli",-0.369694883369918,0.317433447554627,-0.991853008065371,0.252463241325535,0.24416577480835,0,0.623413758718451,0.385742722008082
"Melanoma","CCL5-CXCL9_Dangaj",-0.566254920600255,0.564980562066791,-1.67359647421636,0.541086633015852,0.31622017054427,0,0.390767409692242,0.416079171768776
"Melanoma","CYT_Rooney",-0.317437213986937,0.304526304726478,-0.914297803595903,0.279423375622029,0.297227797548226,0,0.617912363874921,0.416079171768776
"Melanoma","M1_Hwang",-0.72205124342159,0.706462914191945,-2.10669311165101,0.662590624807832,0.306749986414486,0,0.555291663315606,0.416079171768776
"Melanoma","IMS_Cui",0.882356592923415,0.92731598003766,-0.935149330238863,2.69986251608569,0.341342171519469,0.594972312021218,0.0425713938895789,0.425573776308602
"Melanoma","IRG_Ayers",-0.190189851142761,0.206689065160279,-0.595292974855161,0.214913272569638,0.357481972099226,0.0116305864288986,0.399673124477904,0.425573776308602
"Other","CCL5-CXCL9_Dangaj",-0.935432115981892,0.519311970343834,-1.95326487459634,0.0824006426325559,0.0716569838989288,0.399015809752805,0.189391821184736,0.45830199790527
"Other","IRG_Ayers",-0.370348239549187,0.208992396720703,-0.779965810164472,0.0392693310660984,0.0763836663175449,0,0.54772057506173,0.45830199790527
"Other","M1_Hwang",-1.5080221685215,0.723991810402341,-2.92702004201204,-0.0890242950309594,0.0372578681719156,0,0.615731591900809,0.45830199790527
"Other","PredictIO_Bareche",-1.39360317745242,0.763610764253116,-2.89025277359563,0.103046418690792,0.0679983550458537,0.644712507048414,0.0599273659897134,0.45830199790527
"Melanoma","IFN_Ayers",-0.153697103872597,0.198219987628681,-0.542201140640788,0.234806932895593,0.438111305609874,0.143910554054687,0.322590776988753,0.497853756374857
"Melanoma","COX-IS_Bonavita",-0.123644042852156,0.179936520380555,-0.476313142301502,0.22902505659719,0.491985887526421,0,0.709514252093821,0.534767269050458
"Other","IPS_Charoentong",-0.265764692577588,0.169717899851091,-0.598405663817502,0.0668762786623269,0.117367293445353,0,0.851916591591138,0.563363008537696
"Other","Chemokine_Messina",-0.6595795196758,0.814825665295568,-2.256608477334,0.937449437982403,0.418243025650719,0.620576346586622,0.0716776475195404,0.772140970432098
"Other","CYT_Davoli",-0.736431926189894,0.75864650755987,-2.22335175800433,0.750487905624545,0.331688656471684,0.636651562060674,0.0637887036212625,0.772140970432098
"Other","CYT_Rooney",-0.620964195719849,0.648428823708038,-1.89186133672528,0.649932945285578,0.338242130234871,0.561058116338846,0.102467876983963,0.772140970432098
"Other","IFN_Ayers",-0.412722433292148,0.400000679275416,-1.19670935846352,0.371264491879225,0.30216378995326,0.36997227904475,0.20449091156781,0.772140970432098
"Other","IPSOV_Shen",-2.04837296138711,2.08961909960764,-6.14395113802511,2.04720521525088,0.326957099086125,0,0.526961587997048,0.772140970432098
"Other","Teff_McDermott",-0.842866230974709,1.01646748124412,-2.83510588566932,1.1493734237199,0.406984902275336,0.706430022986153,0.0331622573464416,0.772140970432098
"Other","Teff-IFNG_Fehrenbacher",-0.875237872742052,1.00065217071279,-2.83648008839095,1.08600434290685,0.381754881113677,0.73132631777708,0.0241858584817124,0.772140970432098
"Other","VIGex_Hernando-Calvo",-0.924518908852146,0.973918895608694,-2.83336486810821,0.984327050403918,0.342479695241661,0.685735272893198,0.0415012940828212,0.772140970432098
"Other","TIS_Damotte",-0.804069669950624,1.1407087194663,-3.03981767695538,1.43167833705413,0.480881148624,0.718384724943658,0.0286975436517774,0.824367683355429
"Other","Inflammatory_Thompson",-0.56752270801462,0.881219601032468,-2.29468138850901,1.15963597247977,0.519562714713823,0.641997782486703,0.061220156608703,0.830767180818532
"Other","PassON_Du",-2.46161190692957,4.54953493192865,-11.3785365199166,6.45531270605747,0.588460086413127,0.832340628322925,0.0025683946646589,0.830767180818532
"Other","PDL1_Nishino",-0.382881746367432,0.680347806692817,-1.71633894444617,0.950575451711308,0.573589097482371,0.509857381023235,0.129999782561518,0.830767180818532
"Other","IPRES_Hugo",1.96906929035331,5.09303032244673,-8.01308671381269,11.9512252945193,0.699037272107429,0.792136413162239,0.00814095798080131,0.838844726528915
"Other","MHC-I_Liu",-0.57476927447596,1.41908543709988,-3.35612562217701,2.20658707322509,0.685456961480785,0.645890620123247,0.0593688147802635,0.838844726528915
"Other","TUMOR-VASCULATURE-UP_Lu",0.891205595812198,2.06407004260866,-3.15429734926883,4.93670854089322,0.665907855370324,0.675467156191439,0.0458971514430436,0.838844726528915
"Other","EMT_Thompson",0.236255070051272,0.863372517372847,-1.45592396924119,1.92843410934373,0.784359676091761,0.200490986632499,0.286284949358385,0.855665101191012
"Other","IMS_Cui",-0.390545210734619,1.39360229006812,-3.12195550804067,2.34086508657143,0.779292221298862,0.660405528770811,0.052618437698136,0.855665101191012
"Melanoma","IPS_Charoentong",0.0401021319118113,0.181103665374512,-0.314854529690426,0.395058793514048,0.82475614251367,0.170375447591304,0.306112384098007,0.859120981785073
"Melanoma","EMT_Thompson",0.049683374210562,0.611393897481781,-1.1486266452213,1.24799339364243,0.93523322510304,0.33985486748263,0.194765196359511,0.93523322510304
"Other","COX-IS_Bonavita",0.0156684153574478,0.391879709349432,-0.752401701239463,0.783738531954358,0.968106905435021,0.520464680955092,0.124263355341236,0.982417363425522
"Other","EMTstroma_Wang",0.0249072612002431,1.13017808815657,-2.19020108770297,2.24001561010345,0.982417363425522,0.652408306733901,0.0563068705405819,0.982417363425522
